Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"addPolicyPage.setTextField(""changePremium"", premium)",Chrome 126.0.0.0,,,2024-08-16 02:28:15,2024-08-16 02:28:15,0.335s,PASSED
assignee = addPolicyPage.getPolicyAssigneValue(),Chrome 126.0.0.0,,,2024-08-16 02:28:15,2024-08-16 02:28:16,1.127s,PASSED
"if (assignee.contains(""Select"") == true || assignee.contains(""Deleted"") == true)",Chrome 126.0.0.0,,,2024-08-16 02:28:16,2024-08-16 02:28:16,0.001s,PASSED
"addPolicyPage.waitForElementToAppear(""changePolicyBtn"")",Chrome 126.0.0.0,,,2024-08-16 02:28:16,2024-08-16 02:28:16,0.033s,PASSED
"addPolicyPage.clickElement(""changePolicyBtn"")",Chrome 126.0.0.0,,,2024-08-16 02:28:16,2024-08-16 02:28:16,0.184s,PASSED
policySummaryPage.waitForPolicyToProcessHistory(),Chrome 126.0.0.0,,,2024-08-16 02:28:16,2024-08-16 02:28:51,34.454s,PASSED
"applicantPolicyPage.clickElement(""policyTab"")",Chrome 126.0.0.0,,,2024-08-16 02:28:51,2024-08-16 02:28:51,0.627s,PASSED
"policyNum = policyMapValue.get(""policyNumber"")",Chrome 126.0.0.0,,,2024-08-16 02:28:51,2024-08-16 02:28:51,0.000s,PASSED
"applicantPolicyPage.comparePolicy(2, policyNum)",Chrome 126.0.0.0,,,2024-08-16 02:28:51,2024-08-16 02:28:55,3.388s,PASSED
"applicantPolicyPage.selectOptionByIndex(""version2PolicySelect"", 2)",Chrome 126.0.0.0,,,2024-08-16 02:28:55,2024-08-16 02:28:55,0.251s,PASSED
addPolicyPage.closeWindowIndex(2),Chrome 126.0.0.0,,,2024-08-16 02:28:55,2024-08-16 02:28:55,0.070s,PASSED
addPolicyPage.closeWindowIndex(1),Chrome 126.0.0.0,,,2024-08-16 02:28:55,2024-08-16 02:28:55,0.072s,PASSED
addPolicyPage.switchToDefaultContent(),Chrome 126.0.0.0,,,2024-08-16 02:28:55,2024-08-16 02:28:55,0.034s,PASSED
"!(resList.contains(""false""))",Chrome 126.0.0.0,,,2024-08-16 02:28:55,2024-08-16 02:28:55,0.001s,PASSED
Start listener action : AfterTestCase,Chrome 126.0.0.0,,,2024-08-16 02:28:55,2024-08-16 02:28:55,0.021s,PASSED
,,,,,,,
Test Cases/policyManagement/Change Request/VerifyPreviewScreenMonolinePolicy,Chrome 126.0.0.0,,,2024-08-16 02:28:55,2024-08-16 02:29:34,38.936s,PASSED
Start listener action : BeforeTestCase,Chrome 126.0.0.0,,,2024-08-16 02:28:55,2024-08-16 02:28:55,0.105s,PASSED
"dataFilePath = ""Data Files/policyManagement/monolinepolicyCRData""",Chrome 126.0.0.0,,,2024-08-16 02:28:56,2024-08-16 02:28:56,0.000s,PASSED
tc = new VerifyPreviewScreenMonolinePolicy(dataFilePath),Chrome 126.0.0.0,,,2024-08-16 02:28:56,2024-08-16 02:28:56,0.030s,PASSED
"policyColumnData = ""Data Files/policyManagement/policyManagementColumn""",Chrome 126.0.0.0,,,2024-08-16 02:28:56,2024-08-16 02:28:56,0.000s,PASSED
